category,card_name_jp,copies,urls
pokemon,カルボウ,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44260/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46188/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46360/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48359/"",""link4"")"
pokemon,ソウブレイズex,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46189/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47124/"",""link2"")"
pokemon,ソルロック,4,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47760/"",""link1"")"
pokemon,ルナトーン,2,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47759/"",""link1"")"
goods,ハイパーボール,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/36307/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42399/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46198/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47193/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47264/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47879/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48295/"",""link7"")"
goods,ネストボール,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45399/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46090/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46196/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47192/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47878/"",""link5"")"
goods,大地の器,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44306/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46088/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46804/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47875/"",""link4"")"
goods,ファイトゴング,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47792/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48439/"",""link2"")"
supporter,ゼイユ,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45788/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45865/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45872/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46831/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47208/"",""link5"")"
supporter,ボスの指令,4,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/38821/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/41096/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42422/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42900/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44704/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48281/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48303/"",""link7"")"
