category,card_name_jp,urls,decks_with_card,total_copies,avg_when_present (per decks with card),avg_overall (per all decks)
pokemon,"リオル
M1L
028/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47761/"",""link1"")",8,25,3.125,2.500
pokemon,"メガルカリオex
M1L
078/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48435/"",""link1"")",1,1,1.000,0.100
pokemon,"メガルカリオex
M1L
029/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47762/"",""link1"")",9,23,2.556,2.300
pokemon,"ルカリオ
SV4a
105/190","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44776/"",""link1"")",1,1,1.000,0.100
pokemon,"マクノシタ
M1L
024/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47757/"",""link1"")",7,19,2.714,1.900
pokemon,"ハリテヤマ
M1L
025/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47758/"",""link1"")",10,21,2.100,2.100
pokemon,"ソルロック
M1L
027/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47760/"",""link1"")",10,21,2.100,2.100
pokemon,"ルナトーン
M1L
026/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47759/"",""link1"")",10,20,2.000,2.000
pokemon,"テツノツツミ
SV4M
020/066","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44332/"",""link1"")",1,1,1.000,0.100
pokemon,"ゾロア
SV11W
058/086","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47680/"",""link1"")",1,1,1.000,0.100
pokemon,"ゾロアーク
SV11W
059/086","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47681/"",""link1"")",1,1,1.000,0.100
pokemon,"シェイミ
MA
001/043","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47860/"",""link1"")",2,2,1.000,0.200
pokemon,"マクノシタ
M-P
004/M-P","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48250/"",""link1"")",3,8,2.667,0.800
pokemon,"ゲノセクト
SV6a
040/064","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45915/"",""link1"")",1,1,1.000,0.100
pokemon,"キチキギスex
MA
003/043","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47862/"",""link1"")",1,1,1.000,0.100
pokemon,"リオル
M1L
068/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48425/"",""link1"")",2,6,3.000,0.600
pokemon,"コダック
SV-P
262/SV-P","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47492/"",""link1"")",1,1,1.000,0.100
pokemon,"メガルカリオex
M1L
088/063","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48445/"",""link1"")",1,3,3.000,0.300
pokemon,"オーガポン いしずえのめんex
SV6
119/101","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45861/"",""link1"")",1,2,2.000,0.200
pokemon,"テツノツツミ
SV-P
185/SV-P","=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46448/"",""link1"")",1,1,1.000,0.100
goods,夜のタンカ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45931/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47885/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48298/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48316/"",""link4"")",10,28,2.800,2.800
goods,パワープロテイン,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47791/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48438/"",""link2"")",10,39,3.900,3.900
goods,ファイトゴング,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47792/"",""link1"")",10,40,4.000,4.000
goods,ハイパーボール,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/28399/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/33168/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/33274/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42245/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47282/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47879/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48295/"",""link7"")",10,35,3.500,3.500
goods,ポケギア3.0,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47617/"",""link1"")",1,1,1.000,0.100
goods,ネストボール,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/33119/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/36611/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47192/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47878/"",""link4"")",7,9,1.286,0.900
goods,大地の器,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47189/"",""link1"")",1,1,1.000,0.100
tools,ふうせん,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/37667/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/38816/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47889/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48301/"",""link4"")",10,19,1.900,1.900
tools,マキシマムベルト(ACE SPEC),"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45212/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47202/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47890/"",""link3"")",10,10,1.000,1.000
tools,学習装置,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42618/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44014/"",""link2"")",3,3,1.000,0.300
tools,げんきのハチマキ,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46594/"",""link1"")",1,1,1.000,0.100
tools,岩のむねあて,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44687/"",""link1"")",1,1,1.000,0.100
supporter,リーリエの決心,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47795/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47900/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48253/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48282/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48304/"",""link5"")",10,38,3.800,3.800
supporter,博士の研究,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/37669/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/38880/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/40144/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/41943/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46226/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46619/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47896/"",""link7"")",10,27,2.700,2.700
supporter,ボスの指令,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/38821/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/40999/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/41945/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42810/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43300/"",""link5"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47898/"",""link6"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48303/"",""link7"")",9,12,1.333,1.200
supporter,ナンジャモ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43205/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45800/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47895/"",""link3"")",10,24,2.400,2.400
supporter,フトゥー博士のシナリオ,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44377/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44465/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46108/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46982/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47211/"",""link5"")",10,18,1.800,1.800
supporter,ロケット団のラムダ,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47487/"",""link1"")",1,1,1.000,0.100
supporter,アクロマの執念,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46060/"",""link1"")",1,1,1.000,0.100
stadium,ボウルタウン,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43035/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44708/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46112/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47216/"",""link4"")",9,17,1.889,1.700
stadium,タウンデパート,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43949/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44706/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46111/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47215/"",""link4"")",10,10,1.000,1.000
stadium,グラビティーマウンテン,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/46446/"",""link1"")",3,4,1.333,0.400
stadium,ロケット団の監視塔,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47489/"",""link1"")",1,1,1.000,0.100
stadium,バトルコロシアム,"=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/48419/"",""link1"")",1,2,2.000,0.200
energy,リバーサルエネルギー,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/43278/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/44712/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45340/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45393/"",""link4"")",9,13,1.444,1.300
energy,基本闘エネルギー,"==HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/32131/"",""link1"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/42949/"",""link2"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/45513/"",""link3"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/47908/"",""link4"")&"" | ""&=HYPERLINK(""https://www.pokemon-card.com/card-search/details.php/card/6/"",""link5"")",10,86,8.600,8.600
